Дата;Облачность. Осадки, явления.;Температура, °Сг. Москва;Температура, °СОбласть;Ветер, м/с.
31.05 Ночь;Облачно с прояснениями.Местами кратковременный дождь.;7…9,в центре 11…13;6…11;Северо-западный 5-10
31.05 День;Облачно с прояснениями.Небольшой, местами умеренный дождь.;16…18;16…21;Северо-западный 6-11
01.06 Ночь;Переменная облачность.Преимущественно без осадков.;5…7,в центре 9…11;3…8;Юго-западный 6-11
01.06 День;Переменная облачность.Преимущественно без осадков.;21…23;19…24;Юго-западный 6-11
02.06 Ночь;Облачно с прояснениями.Преимущественно без осадков.;8…10,в центре 11…13;6…11;Юго-западный, южный 5-10
02.06 День;Облачно с прояснениями.Местами небольшой дождь.;17…19;16…21,на востоке до 24;Северо-западный 6-11,местами порывы до 15
